galContentId,galTitle,galWebImageUrl,galSearchKeyword,processedLocation,galPhotographyLocation
3097292,남이섬,http://tong.visitkorea.or.kr/cms2/website/92/3097292.jpg,"남이섬, 강원특별자치도 춘천시, 강원도, 나미나라 공화국, 단풍, 가을, 추경, 은행나무, 은행잎, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 춘천시,강원특별자치도 춘천시 남산면
3102110,함양 운곡리 은행나무,http://tong.visitkorea.or.kr/cms2/website/10/3102110.jpg,"함양 운곡리 은행나무, 경상남도 함양군, 천연기념물 제406호, 은행잎, 단풍, 가을, 추경, 드론촬영, 드론사진, 항공촬영, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 함양군,경상남도 함양군 서하면
3097098,백범광장,http://tong.visitkorea.or.kr/cms2/website/98/3097098.jpg,"백범광장, 서울특별시 중구, 독립운동가, 일제강점기, 공원, 호현당, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 중구,서울특별시 중구
3100468,통영 서포루,http://tong.visitkorea.or.kr/cms2/website/68/3100468.jpg,"통영 서포루, 경상남도 통영시, 서장대, 성곽, 전경, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 중앙동
3097272,부산불꽃축제,http://tong.visitkorea.or.kr/cms2/website/72/3097272.jpg,"부산불꽃축제, 부산광역시 수영구, 광안리해수욕장, 광안대교, 불꽃놀이, 야경, 11월 추천여행지, 사진기자단, 프레임코리아1기",부산광역시 수영구,부산광역시 수영구 광안동
3097458,김해 연지공원,http://tong.visitkorea.or.kr/cms2/website/58/3097458.jpg,"김해 연지공원, 경상남도 김해시, 수변공원, 도심공원, 호수, 가을, 추경, 산책로, 산책길, 걷기여행, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 김해시,경상남도 김해시 내동
3098655,월화원,http://tong.visitkorea.or.kr/cms2/website/55/3098655.jpg,"월화원, 경기도 수원시, 효원공원, 중국식 정원, 전통공원, 테마공원, , 단풍, 가을, 추경, 11월 추천여행지, 사진기자단, 프레임코리아1기",경기도 수원시,경기도 수원시 팔달구
3097677,주왕산국립공원,http://tong.visitkorea.or.kr/cms2/website/77/3097677.jpg,"주왕산국립공원, 경상북도 청송군, 바위, 산책로, 산책길, 트래킹, 트레킹, 걷기여행, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상북도 청송군,경상북도 청송군 주왕산면
3100362,통영 삼도수군통제영,http://tong.visitkorea.or.kr/cms2/website/62/3100362.jpg,"통영 삼도수군통제영, 경상남도 통영시, 사적 제402호, 전경, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 문화동
3097084,서울 한양도성길,http://tong.visitkorea.or.kr/cms2/website/84/3097084.jpg,"서울 한양도성길, 서울특별시 용산구, 서울성곽길, 한양도성길 3코스, 남산구간, 남산성곽길, 산책로, 산책길, 걷기여행, 남산서울타워, 남산공원 N서울타워, 남산타워, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 중구,서울특별시 중구
3100457,통영 동포루,http://tong.visitkorea.or.kr/cms2/website/57/3100457.jpg,"통영 동포루, 경상남도 통영시, 동장대, 성곽, 전경, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 태평동
3100377,통영 충무교,http://tong.visitkorea.or.kr/cms2/website/77/3100377.jpg,"통영 충무교, 경상남도 통영시, 교량, 다리, 전경, 운하, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 미수동
3097058,수봉공원,http://tong.visitkorea.or.kr/cms2/website/58/3097058.jpg,"수봉공원, 인천광역시 도시공원, 테마공원, 미추홀구, 수봉산, 가을, 추경, 현충탑, 11월 추천여행지, 사진기자단, 프레임코리아1기",인천광역시 미추홀구,인천광역시 미추홀구 숭의동
3100315,황매산,http://tong.visitkorea.or.kr/cms2/website/15/3100315.jpg,"황매산, 경상남도 합천군, 황매산 군립공원, 가을, 추경, 산책로, 산책길, 트레킹, 트래킹, 걷기여행, 등산, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 합천군,경상남도 합천군 가회면
3099123,곡운구곡,http://tong.visitkorea.or.kr/cms2/website/23/3099123.jpg,"곡운구곡, 강원특별자치도 화천군, 강원도, 계곡, 강원평화지역 국가지질공원, DMZ 관광, DMZ 투어, 곡운구곡 출렁다리, 은하수, 별, 야경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 사내면
3100286,전주향교,http://tong.visitkorea.or.kr/cms2/website/86/3100286.jpg,"전주향교, 전북특별자치도 전주시, 전라북도, 사적 제379호, 한옥, 가을, 추경, 단풍, 은행나무, 은행잎, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",전북특별자치도 전주시,전북특별자치도 전주시 완산구
3098530,삼척 해상케이블카,http://tong.visitkorea.or.kr/cms2/website/30/3098530.jpg,"삼척 해상케이블카, 강원특별자치도 삼척시, 강원도, 동해바다, 등대, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 삼척시,강원특별자치도 삼척시 근덕면
3099032,매월대폭포,http://tong.visitkorea.or.kr/cms2/website/32/3099032.jpg,"매월대폭포, 강원특별자치도 철원군, 강원도, 자연, 바위, 절벽, 복계산, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 철원군,강원특별자치도 철원군 근남면
3098769,곡교천 은행나무길,http://tong.visitkorea.or.kr/cms2/website/69/3098769.jpg,"곡교천 은행나무길, 충청남도 아산시, 은행잎, 낙엽, 단풍, 가을, 추경, 산책로, 산책길, 걷기여행, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청남도 아산시,충청남도 아산시 염치읍
3098520,삼척 미인폭포,http://tong.visitkorea.or.kr/cms2/website/20/3098520.jpg,"삼척 미인폭포, 강원특별자치도 삼척시, 강원도, 자연, 바위, 절벽, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 삼척시,강원특별자치도 삼척시 도계읍
3099374,광교호수공원,http://tong.visitkorea.or.kr/cms2/website/74/3099374.jpg,"광교호수공원, 경기도 수원시, 테마공원, 산책로, 산책길, 걷기여행, 드론촬영, 드론사진, 항공촬영, 11월 추천여행지, 사진기자단, 프레임코리아1기",경기도 수원시,경기도 수원시 영통구
3098528,장호항,http://tong.visitkorea.or.kr/cms2/website/28/3098528.jpg,"장호항, 강원특별자치도 삼척시, 강원도, 동해바다, 바위, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 삼척시,강원특별자치도 삼척시 근덕면
3098700,민둥산,http://tong.visitkorea.or.kr/cms2/website/00/3098700.jpg,"민둥산, 강원특별자치도 정선군, 강원도, 억새밭, 가을, 추경, 자연관광지, 산책로, 산책길, 트레킹, 트래킹, 걷기여행, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 정선군,강원특별자치도 정선군 남면
3098785,서울 길상사,http://tong.visitkorea.or.kr/cms2/website/85/3098785.jpg,"서울 길상사, 서울특별시 성북구, 절, 사찰, 종교, 불교, 단풍, 가을, 추경, 범종, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 성북구,서울특별시 성북구 성북동
3097119,용담호,http://tong.visitkorea.or.kr/cms2/website/19/3097119.jpg,"용담호, 전북특별자치도 진안군, 전라북도, 저수지, 단풍, 반영, 단풍, 가을, 추경, 사진기자단, 프레임코리아1기",전북특별자치도 진안군,전북특별자치도 진안군 용담면
3097434,양방산 전망대,http://tong.visitkorea.or.kr/cms2/website/34/3097434.jpg,"양방산 전망대, 충청북도 단양군, 양방산 활공장, 전경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청북도 단양군,충청북도 단양군 단양면
3099348,화천시장,http://tong.visitkorea.or.kr/cms2/website/48/3099348.jpg,"화천시장, 강원특별자치도 화천군, 강원도, 전통시장, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 화천읍
3097497,서울대학교,http://tong.visitkorea.or.kr/cms2/website/97/3097497.jpg,"서울대학교, 서울특별시 관악구, 11월 추천여행지, 사진기자단, 프레임코리아1기",서울특별시 관악구,서울특별시 관악구 신림동
3097260,경기전,http://tong.visitkorea.or.kr/cms2/website/60/3097260.jpg,"경기전, 전북특별자치도 전주시, 전라북도, 사적 제339호, 전주한옥마을, 전주 조경묘 정묘, 보물 제2190호, 기와, 은행나무, 은행잎, 낙엽, 단풍, 가을, 추경, 11월 추천여행지, 사진기자단, 프레임코리아1기",전북특별자치도 전주시,전북특별자치도 전주시 완산구
3097423,만천하스카이워크,http://tong.visitkorea.or.kr/cms2/website/23/3097423.jpg,"만천하스카이워크, 충청북도 단양군, 단양 전망대, 전경, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청북도 단양군,충청북도 단양군 적성면
3100460,통영 북포루,http://tong.visitkorea.or.kr/cms2/website/60/3100460.jpg,"통영 북포루, 경상남도 통영시, 북장대, 성곽, 드론촬영, 드론사진, 항공촬영, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 통영시,경상남도 통영시 문화동
3097252,신성리 갈대밭,http://tong.visitkorea.or.kr/cms2/website/52/3097252.jpg,"신성리 갈대밭, 충청남도 서천군, 산책로, 산책길, 걷기여행, 공동경비구역 JSA 촬영지, 영화 촬영지, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청남도 서천군,충청남도 서천군 한산면
3099799,수원탑동시민농장,http://tong.visitkorea.or.kr/cms2/website/99/3099799.JPG,"수원탑동시민농장, 경기도 수원시, 가을, 추경, 꽃밭, 댑싸리, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경기도 수원시,경기도 수원시 권선구
3102319,금산 요광리 은행나무,http://tong.visitkorea.or.kr/cms2/website/19/3102319.jpg,"금산 요광리 은행나무, 충청남도 금산군, 천연기념물 제84호, 은행잎, 단풍, 가을, 추경, 드론촬영, 드론사진, 항공촬영, 11월 추천여행지, 사진기자단, 프레임코리아1기",충청남도 금산군,충청남도 금산군 추부면
3099267,화천 파로호 안보전시관,http://tong.visitkorea.or.kr/cms2/website/67/3099267.jpg,"화천 파로호 안보전시관, 강원특별자치도 화천군, 강원도, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 간동면
3099302,화천 자유수호희생자위령탑,http://tong.visitkorea.or.kr/cms2/website/02/3099302.jpg,"화천 자유수호희생자위령탑, 강원특별자치도 화천군, 강원도, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 간동면
3099227,거례리수목공원,http://tong.visitkorea.or.kr/cms2/website/27/3099227.jpg,"거례리수목공원, 강원특별자치도 화천군, 강원도, 아를테마 수목원, 아를테마 수목공원, 북한강, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",강원특별자치도 화천군,강원특별자치도 화천군 하남면
3097771,월연정,http://tong.visitkorea.or.kr/cms2/website/71/3097771.jpg,"월연정, 경상남도 밀양시, 밀양8경, 한옥, 고택, 서까래, 11월 버킷, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상남도 밀양시,경상남도 밀양시 용평동
3097609,청송 대전사,http://tong.visitkorea.or.kr/cms2/website/09/3097609.jpg,"청송 대전사, 경상북도 청송군, 절, 사찰, 종교, 불교, 주왕산국립공원, 대전사 보광전, 보물 제1507호, 야경, 11월 추천여행지, 사진기자단, 프레임코리아1기",경상북도 청송군,경상북도 청송군 주왕산면
3098289,제주 레일바이크,http://tong.visitkorea.or.kr/cms2/website/89/3098289.JPG,"제주 레일바이크, 제주특별자치도 제주시, 제주도, 제주레일파크, 억새밭, 가을, 추경, 11월 추천여행지, 사진기자단, 프레임코리아1기",제주특별자치도 제주시,제주특별자치도 제주시 구좌읍
